track_id,timestamp,x_bev,y_bev,cam_id
1,2025-05-11T14:32:24.185321,33.52678633351795,93.05803581665212,3
1,2025-05-11T14:32:24.770033,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:25.410297,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:26.097697,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:26.097791,33.75725184463367,93.01651058783062,3
1,2025-05-11T14:32:26.719026,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:26.719111,33.98751176652906,92.97502240203293,3
1,2025-05-11T14:32:27.357716,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:27.357803,34.906501054050366,92.80943909950714,3
1,2025-05-11T14:32:28.017254,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:28.017336,34.906501054050366,92.80943909950714,3
1,2025-05-11T14:32:28.623089,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:28.623177,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:28.623201,34.21756637417855,92.93357120971423,3
1,2025-05-11T14:32:29.179098,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:29.179183,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:29.179206,34.21756637417855,92.93357120971423,3
1,2025-05-11T14:32:29.733041,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:29.733120,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:29.733141,34.44741594206644,92.89215696141798,3
1,2025-05-11T14:32:30.302934,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:30.303028,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:30.303049,34.44741594206644,92.89215696141798,3
1,2025-05-11T14:32:30.881276,33.2961149577162,93.0995981381308,3
2,2025-05-11T14:32:30.881357,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:30.881380,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:30.881401,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:31.461148,32.37136528108009,93.26621934639327,3
2,2025-05-11T14:32:31.461231,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:31.461280,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:31.461306,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:32.038942,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:32.039021,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:32.039043,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:32.039059,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:32.599295,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:32.599382,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:32.599405,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:32.599451,33.2961149577162,93.0995981381308,3
1,2025-05-11T14:32:33.192966,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:33.193091,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:33.193133,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:33.193154,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:33.193171,30.745063476385766,93.55924607410546,3
1,2025-05-11T14:32:33.775454,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:33.775536,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:33.775556,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:33.775590,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:33.775614,30.745063476385766,93.55924607410546,3
1,2025-05-11T14:32:34.350645,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:34.350746,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:34.350769,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:34.350788,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:34.350807,30.745063476385766,93.55924607410546,3
1,2025-05-11T14:32:34.908789,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:34.908881,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:34.908904,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:34.908927,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:34.908955,30.745063476385766,93.55924607410546,3
7,2025-05-11T14:32:34.908978,28.403968194868405,93.98106414478912,3
1,2025-05-11T14:32:35.473618,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:35.473714,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:35.473733,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:35.473752,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:35.473769,30.745063476385766,93.55924607410546,3
7,2025-05-11T14:32:35.473787,28.403968194868405,93.98106414478912,3
1,2025-05-11T14:32:36.048719,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:36.048804,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:36.048829,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:36.048851,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:36.048876,30.745063476385766,93.55924607410546,3
7,2025-05-11T14:32:36.048899,28.403968194868405,93.98106414478912,3
1,2025-05-11T14:32:36.614510,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:36.614607,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:36.614632,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:36.614654,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:36.614700,30.745063476385766,93.55924607410546,3
